REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q31_PERSON_SERIAL_NO,Q31A_YOU_MAIN_OCCUPATION,Q31B1_GORSS_SALARY,Q31B2_ADDITIONAL_EARNING,Q31B3_INCOME_IN_KIND,Q31C1_DAILY_WAGE,Q31C2_NO_OF_DAYS_WORKED,Q31C3_TOTAL_EARNING,Q31C4_INCOME_IN_KIND,Q32_YOU_SECONDARY_OCCUPATION,Q32B1_GROSS_SALARY,Q32B2_ADDITIONAL_EARNING,Q32B3_INCOME_IN_KIND,Q32C1_DAILY_WAGE,Q32C2_NO_OF_DAYS_WORKED,Q32C3_TOTAL_EARNING,Q32C4_INCOME_IN_KIND
 8,2012,04,1,11,001,01,1,001,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,02,1,002,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,03,1,003,01,1,32000,06000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,03,1,003,03,1,     ,     ,     ,00700,20,14000,01500,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,05,1,005,01,1,17000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,05,1,005,03,1,15000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,06,1,006,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,08,1,008,02,1,14000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,08,1,008,03,1,22000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,09,1,009,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,10,1,010,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,001,10,1,010,03,1,12000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,01,1,011,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,01,1,011,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,01,1,011,03,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,02,1,012,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,02,1,012,05,1,     ,     ,     ,01000,30,30000,04500,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,02,1,012,08,1,10000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,03,1,013,01,1,     ,     ,     ,01000,30,30000,03000,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,04,1,014,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,05,1,015,03,1,18000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,05,1,015,08,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,05,1,015,09,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,07,1,017,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,002,07,1,017,03,1,05000,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,01,1,172,01,1,18000,06000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,01,1,172,03,1,13500,02700,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,05,1,176,01,1,22000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,06,1,177,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,07,1,178,01,1,     ,     ,     ,00575,23,13225,00200,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,07,1,178,02,1,     ,     ,     ,00500,30,15000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,07,1,178,03,1,     ,     ,     ,00800,26,20800,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,07,1,178,04,1,     ,     ,     ,00425,24,10200,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,07,1,178,05,1,     ,     ,     ,00575,24,13800,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,07,1,178,07,1,     ,     ,     ,00500,28,14000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,09,1,180,01,1,27000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,10,1,181,01,1,45000,     ,06000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,003,10,1,181,04,1,24000,03800,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,01,1,142,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,01,1,142,03,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,02,1,143,01,1,40000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,02,1,143,02,1,40000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,03,1,144,03,1,14000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,04,1,145,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,05,1,146,01,1,07000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,05,1,146,03,1,29000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,05,1,146,05,1,16000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,05,1,146,06,1,06000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,07,1,148,02,1,40000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,07,1,148,03,1,43000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,09,1,150,03,1,19000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,09,1,150,06,1,21000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,004,10,1,151,02,1,33000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,005,03,1,164,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,005,03,1,164,03,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,005,05,1,166,01,1,38000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,005,07,1,168,01,1,14000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,005,08,1,169,01,1,20000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,005,09,1,170,01,1,23000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,005,10,1,171,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,01,1,102,02,1,     ,     ,     ,00600,16,09600,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,02,1,103,01,1,16000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,03,1,104,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,04,1,105,02,1,15000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,05,1,106,01,1,     ,     ,     ,00800,16,12800,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,08,1,109,01,1,19000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,09,1,110,02,1,13000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,006,10,1,111,02,1,     ,     ,     ,00800,17,13600,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,01,1,072,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,02,1,073,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,02,1,073,03,1,18500,05500,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,03,1,074,01,1,25000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,03,1,074,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,04,1,075,03,1,12000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,04,1,075,04,1,14100,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,05,1,076,01,1,17000,05800,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,06,1,077,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,06,1,077,02,1,21000,05850,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,07,1,078,01,1,18000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,08,1,079,02,1,12000,07500,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,08,1,079,03,1,10000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,007,09,1,080,03,1,17500,12000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,01,1,082,01,1,25000,05800,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,01,1,082,02,1,21000,05850,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,02,1,083,01,1,17500,05800,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,03,1,084,01,1,16000,05800,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,04,1,085,01,1,15000,04000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,04,1,085,03,1,08000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,06,1,087,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,06,1,087,02,1,12000,07000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,07,1,088,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,07,1,088,03,1,15000,05000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,08,1,089,04,1,35000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,09,1,090,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,008,10,1,091,01,1,25000,07000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,02,1,113,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,05,1,116,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,05,1,116,03,1,15000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,06,1,117,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,06,1,117,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,07,1,118,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,07,1,118,03,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,07,1,118,05,1,17000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,09,1,120,01,1,30000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,09,1,120,02,1,14000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,10,1,121,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,009,10,1,121,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,01,1,021,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,02,1,022,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,02,1,022,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,03,1,023,01,2,     ,     ,     ,     ,  ,     ,     ,1,00001,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,03,1,023,03,1,00000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,04,1,024,01,1,     ,     ,     ,01200,17,20400,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,04,1,024,02,1,21650,02600,02400,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,05,1,025,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,05,1,025,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,05,1,025,03,1,12000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,06,1,026,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,06,1,026,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,07,1,027,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,07,1,027,04,1,02500,00000,05500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,07,1,027,05,1,02500,00000,05500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,07,1,027,06,1,08000,00000,05500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,08,1,028,01,1,     ,     ,     ,00500,21,10500,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,09,1,029,01,1,10800,02200,00000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,09,1,029,02,1,     ,     ,     ,00500,20,10000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,09,1,029,03,1,12700,00000,00000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,10,1,030,01,1,     ,     ,     ,00500,20,10000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,2,11,010,10,1,030,02,1,     ,     ,     ,00500,20,10000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,01,1,122,01,1,20000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,02,1,123,01,1,60000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,02,1,123,03,1,40000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,03,1,124,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,04,1,125,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,05,1,126,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,05,1,126,07,1,     ,     ,     ,00600,15,09000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,06,1,127,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,06,1,127,02,1,     ,     ,     ,00200,20,04000,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,07,1,128,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,07,1,128,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,08,1,129,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,08,1,129,03,1,12000,03000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,10,1,131,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,10,1,131,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,011,10,1,131,04,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,012,01,1,132,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,012,01,1,132,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,012,02,1,133,01,1,20000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,012,04,1,135,02,1,24000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,012,05,1,136,01,1,09800,01200,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,012,05,1,136,03,1,30000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,012,06,1,137,01,1,22000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,01,1,031,01,1,99000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,01,1,031,02,1,99000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,01,1,031,06,1,05000,     ,03500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,01,1,031,07,1,15000,     ,03500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,02,1,032,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,02,1,032,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,02,1,032,05,1,09000,     ,03200,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,02,1,032,06,1,10000,     ,03200,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,03,1,033,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,03,1,033,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,03,1,033,06,1,08000,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,03,1,033,07,1,     ,     ,     ,00450,24,10800,03000,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,03,1,033,08,1,10000,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,03,1,033,09,1,10000,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,03,1,033,10,1,07500,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,04,1,034,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,04,1,034,03,1,10000,     ,03500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,04,1,034,04,1,10000,     ,03500,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,06,1,036,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,06,1,036,05,1,07000,     ,02800,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,09,1,039,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,10,1,040,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,10,1,040,03,1,08000,     ,03200,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,013,10,1,040,04,1,08000,     ,03200,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,01,1,182,03,1,39000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,01,1,182,04,1,70000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,01,1,182,06,1,05000,     ,03200,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,02,1,183,01,1,99000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,04,1,185,04,1,     ,     ,     ,00750,22,16500,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,05,1,186,06,1,08000,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,07,1,188,01,1,28000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,07,1,188,02,1,30000,15000,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,07,1,188,06,1,08000,     ,03000,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,08,1,189,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,08,1,189,02,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,014,10,1,191,01,1,99000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,01,1,041,01,1,35000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,01,1,041,02,1,20000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,01,2,042,01,1,10000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,01,2,042,02,1,10000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,02,1,043,01,1,18000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,02,1,043,02,1,17500,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,03,1,044,01,1,20000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,03,1,044,02,1,18500,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,04,1,045,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,05,1,046,01,1,35000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,05,1,046,03,1,25000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,06,1,047,02,1,15000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,06,1,047,03,1,15000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,07,1,048,01,1,20000,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
 8,2012,04,1,11,015,09,1,050,01,2,     ,     ,     ,     ,  ,     ,     ,2,     ,     ,     ,     ,  ,     ,     
